pack,episode,shot_index,start_s,end_s,duration_s,keyframe,mean_motion,face_count,inferred_scale,inferred_motion
high_motion,73,13,111.36,111.84,0.48,keyframes/73/shot_013_111.36s.jpg,0.9549,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,60,19,144.48,144.96,0.48,keyframes/60/shot_019_144.48s.jpg,0.9206,1,MS half-body,high_cut_or_handheld_motion
high_motion,85,30,120.96,121.44,0.48,keyframes/85/shot_030_120.96s.jpg,0.8818,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,52,42,143.52,144.0,0.48,keyframes/52/shot_042_143.52s.jpg,0.874,1,MS half-body,high_cut_or_handheld_motion
high_motion,21,29,97.44,97.92,0.48,keyframes/21/shot_029_097.44s.jpg,0.8514,1,MCU chest-up,high_cut_or_handheld_motion
high_motion,91,56,104.64,105.12,0.48,keyframes/91/shot_056_104.64s.jpg,0.8509,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,21,30,97.92,98.4,0.48,keyframes/21/shot_030_097.92s.jpg,0.849,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,62,13,27.36,27.84,0.48,keyframes/62/shot_013_027.36s.jpg,0.8479,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,26,35,116.16,116.64,0.48,keyframes/26/shot_035_116.16s.jpg,0.8436,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,14,68,112.8,113.28,0.48,keyframes/14/shot_068_112.80s.jpg,0.8431,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,6,53,116.64,117.12,0.48,keyframes/6/shot_053_116.64s.jpg,0.8421,2,MS half-body,high_cut_or_handheld_motion
high_motion,14,59,99.36,99.84,0.48,keyframes/14/shot_059_099.36s.jpg,0.8411,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,26,34,115.68,116.16,0.48,keyframes/26/shot_034_115.68s.jpg,0.8404,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,3,39,88.8,89.28,0.48,keyframes/3/shot_039_088.80s.jpg,0.8383,1,MCU chest-up,high_cut_or_handheld_motion
high_motion,60,20,144.96,145.44,0.48,keyframes/60/shot_020_144.96s.jpg,0.8366,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,3,40,89.28,89.76,0.48,keyframes/3/shot_040_089.28s.jpg,0.8338,0,relation_or_environment_unknown,high_cut_or_handheld_motion
high_motion,11,49,100.8,101.28,0.48,keyframes/11/shot_049_100.80s.jpg,0.8329,0,relation_or_environment_unknown,high_cut_or_handheld_motion
